Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02 00:00:00-05:00,22.272107254174223,22.66442289772072,22.190374438704424,22.57451820373535,52899300,0.0,0.0
2013-01-03 00:00:00-05:00,22.582687049674924,22.599033922358462,22.198544895153336,22.272104263305664,48294400,0.0,0.0
2013-01-04 00:00:00-05:00,22.28845319839792,22.345665699160733,21.84709694864411,21.855270385742188,52521100,0.0,0.0
2013-01-07 00:00:00-05:00,21.879791381189605,21.969696074232207,21.773538254515927,21.81440544128418,37110400,0.0,0.0
2013-01-08 00:00:00-05:00,21.86344541814615,21.896139168924016,21.62642040177813,21.699979782104492,44703100,0.0,0.0
2013-01-09 00:00:00-05:00,21.838925654400658,21.863445968100844,21.708153765847424,21.822580337524414,49047900,0.0,0.0
2013-01-10 00:00:00-05:00,21.7817074140588,22.05142455806315,21.487471521732626,21.626415252685547,71431300,0.0,0.0
2013-01-11 00:00:00-05:00,21.650938574668185,22.01056200305678,21.479301076822253,21.928829193115234,55512100,0.0,0.0
2013-01-14 00:00:00-05:00,21.98604437904741,22.13316314313507,21.871619366500948,21.97787094116211,48324400,0.0,0.0
2013-01-15 00:00:00-05:00,21.92882949637467,22.304799803735705,21.92882949637467,22.239412307739258,48244500,0.0,0.0
2013-01-16 00:00:00-05:00,22.19037428258625,22.255760222717317,22.07594927708783,22.1004695892334,41077400,0.0,0.0
2013-01-17 00:00:00-05:00,22.22306520417864,22.451915186053807,22.11681209065924,22.272104263305664,51685900,0.0,0.0
2013-01-18 00:00:00-05:00,22.14950583602631,22.304798008672734,22.10046677689929,22.272104263305664,52167700,0.0,0.0
2013-01-22 00:00:00-05:00,22.31297473566357,22.435574748512778,22.067777827812993,22.19037628173828,58650600,0.0,0.0
2013-01-23 00:00:00-05:00,22.231243946813287,22.590865878146396,22.231243946813287,22.566347122192383,50387700,0.0,0.0
2013-01-24 00:00:00-05:00,22.639909081877583,22.94231853846758,22.45192309762193,22.58269500732422,101739300,0.0,0.0
2013-01-25 00:00:00-05:00,22.541826633122444,23.073087646648084,22.38653442460992,22.787023544311523,81847700,0.0,0.0
