Date,stock_name,open_price,High,Low,close_price,Volume,Dividends,Stock Splits,average_price
2014-09-17,BTC-USD,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800.0,0.0,0.0,461.59901428222656
2014-09-18,BTC-USD,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200.0,0.0,0.0,440.6499938964844
2014-09-19,BTC-USD,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700.0,0.0,0.0,409.4494934082031
2014-09-20,BTC-USD,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,36863600.0,0.0,0.0,401.7884979248047
2014-09-21,BTC-USD,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100.0,0.0,0.0,403.4530029296875
2014-09-22,BTC-USD,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600.0,0.0,0.0,400.6260070800781
2014-09-23,BTC-USD,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500.0,0.0,0.0,418.9414978027344
2014-09-24,BTC-USD,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700.0,0.0,0.0,429.4779968261719
2014-09-25,BTC-USD,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400.0,0.0,0.0,417.36500549316406
2014-09-26,BTC-USD,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800.0,0.0,0.0,407.92698669433594
2014-09-27,BTC-USD,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300.0,0.0,0.0,401.5379943847656
2014-09-28,BTC-USD,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,23613300.0,0.0,0.0,388.3260040283203
2014-09-29,BTC-USD,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,32497700.0,0.0,0.0,376.197509765625
2014-09-30,BTC-USD,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,34707300.0,0.0,0.0,381.51600646972656
2014-10-01,BTC-USD,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400.0,0.0,0.0,385.52099609375
2014-10-02,BTC-USD,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700.0,0.0,0.0,379.5299987792969
2014-10-03,BTC-USD,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,30901200.0,0.0,0.0,367.34649658203125
2014-10-04,BTC-USD,359.8919982910156,364.4869995117188,325.885986328125,328.8659973144531,47236500.0,0.0,0.0,344.3789978027344
2014-10-05,BTC-USD,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,83308096.0,0.0,0.0,324.71299743652344
2014-10-06,BTC-USD,320.3890075683594,345.1340026855469,302.5599975585937,330.0790100097656,79011800.0,0.0,0.0,325.2340087890625
2014-10-07,BTC-USD,330.5840148925781,339.2470092773437,320.48199462890625,336.18701171875,49199900.0,0.0,0.0,333.38551330566406
2014-10-08,BTC-USD,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,54736300.0,0.0,0.0,344.5279998779297
2014-10-09,BTC-USD,352.7479858398437,382.72601318359375,347.68701171875,365.0260009765625,83641104.0,0.0,0.0,358.8869934082031
2014-10-10,BTC-USD,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,43665700.0,0.0,0.0,363.12451171875
2014-10-11,BTC-USD,361.3619995117188,367.1910095214844,355.95098876953125,362.2990112304688,13345200.0,0.0,0.0,361.8305053710938
2014-10-12,BTC-USD,362.6059875488281,379.4330139160156,356.1440124511719,378.5490112304688,17552800.0,0.0,0.0,370.57749938964844
2014-10-13,BTC-USD,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,35221400.0,0.0,0.0,384.16749572753906
2014-10-14,BTC-USD,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,38491500.0,0.0,0.0,396.28099060058594
2014-10-15,BTC-USD,400.9549865722656,402.22698974609375,388.7659912109375,394.7730102539063,25267100.0,0.0,0.0,397.86399841308594
2014-10-16,BTC-USD,394.51800537109375,398.8070068359375,373.0700073242188,382.5559997558594,26990000.0,0.0,0.0,388.53700256347656
2014-10-17,BTC-USD,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,13600700.0,0.0,0.0,383.2570037841797
2014-10-18,BTC-USD,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,11416800.0,0.0,0.0,387.70899963378906
2014-10-19,BTC-USD,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,5914570.0,0.0,0.0,390.3999938964844
2014-10-20,BTC-USD,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,16419000.0,0.0,0.0,386.0379943847656
2014-10-21,BTC-USD,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,14188900.0,0.0,0.0,384.447998046875
2014-10-22,BTC-USD,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,11641300.0,0.0,0.0,384.63800048828125
2014-10-23,BTC-USD,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,26456900.0,0.0,0.0,370.6894989013672
2014-10-24,BTC-USD,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,15585700.0,0.0,0.0,358.46800231933594
2014-10-25,BTC-USD,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,18127500.0,0.0,0.0,352.9409942626953
2014-10-26,BTC-USD,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,11272500.0,0.0,0.0,351.0955047607422
2014-10-27,BTC-USD,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,13033000.0,0.0,0.0,353.8830108642578
2014-10-28,BTC-USD,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,7845880.0,0.0,0.0,355.41650390625
2014-10-29,BTC-USD,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,18192700.0,0.0,0.0,346.3399963378906
2014-10-30,BTC-USD,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,30177900.0,0.0,0.0,340.5070037841797
2014-10-31,BTC-USD,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,12545400.0,0.0,0.0,341.6650085449219
2014-11-01,BTC-USD,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,16677200.0,0.0,0.0,332.1994934082031
2014-11-02,BTC-USD,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,8603620.0,0.0,0.0,325.98350524902344
2014-11-03,BTC-USD,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,12948500.0,0.0,0.0,326.5614929199219
2014-11-04,BTC-USD,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,15655500.0,0.0,0.0,328.8265075683594
2014-11-05,BTC-USD,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,19817200.0,0.0,0.0,335.0845031738281
2014-11-06,BTC-USD,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,18797000.0,0.0,0.0,344.37400817871094
2014-11-07,BTC-USD,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,16834200.0,0.0,0.0,346.1165008544922
2014-11-08,BTC-USD,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,8535470.0,0.0,0.0,343.8209991455078
2014-11-09,BTC-USD,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,24205600.0,0.0,0.0,354.32000732421875
2014-11-10,BTC-USD,362.2650146484375,374.8160095214844,357.5610046386719,366.9240112304688,30450100.0,0.0,0.0,364.5945129394531
